image_name,concept,explanation
1535c3eb27d8c9aeb890fc538826bd,nature,white birds with yellow beaks exist outside in their natural habitat
1535c3eb27d8c9aeb890fc538826bd,nature,it is an animal
1535c3eb27d8c9aeb890fc538826bd,nature,this image depicts chicks in their natural habitat
1535c3eb27d8c9aeb890fc538826bd,photography,this image depicts a captured moment of wildlife
1535c3eb27d8c9aeb890fc538826bd,scenery,green outdoorsy ground with animals on it
1535c3eb27d8c9aeb890fc538826bd,stressed,the front chick is thinking
1535c3eb27d8c9aeb890fc538826bd,survival,this image depicts how the chicks fends for themselves
1535c3eb27d8c9aeb890fc538826bd,youth,they look young and new to the world
154a7680f0f0bc494fc3a1877cc3abc,adaptation,capturing the animals roaming in the cold geographic location and living in a rather rigid climate zone tells more about their endurance.
154a7680f0f0bc494fc3a1877cc3abc,beauty,they look majestic.
154a7680f0f0bc494fc3a1877cc3abc,color,a black and white pigeons on lake .
154a7680f0f0bc494fc3a1877cc3abc,environment,"the stony ground, the cold background also represents the natural rigors of their environments as a reflection of militaristic lifestyle."
154a7680f0f0bc494fc3a1877cc3abc,freedom,the animals look happy and free
154a7680f0f0bc494fc3a1877cc3abc,freedom,on of the penguins in the picture has its wings spread which could express the feeling of being free
154a7680f0f0bc494fc3a1877cc3abc,innocence,the animals convey the feeling of innocence as they sit together seemingly away from harm.
154a7680f0f0bc494fc3a1877cc3abc,location,pigeons on the rocks beside the river
154a7680f0f0bc494fc3a1877cc3abc,nature,the picture depicts animals in nature
154a7680f0f0bc494fc3a1877cc3abc,nature,the picture is set outdoors near water and rocks
154a7680f0f0bc494fc3a1877cc3abc,picture,a picture of six pigeons on the stream.
154a7680f0f0bc494fc3a1877cc3abc,variety,the picture shows different types of a species of animal
154a7680f0f0bc494fc3a1877cc3abc,wildlife,it is a picture with animals illustrating where they live hence promoting conservation of wildlife.
154a7680f0f0bc494fc3a1877cc3abc,wildlife,they part of the natural world.
154a7680f0f0bc494fc3a1877cc3abc,wildlife,the main focus point is a group of penguins
160e350cce69080b1d773aa2d39e4e6,address,a delivery address shown
160e350cce69080b1d773aa2d39e4e6,censorship,the hiding of certain information
160e350cce69080b1d773aa2d39e4e6,classified,a document that isn't originally designed for public consumption
160e350cce69080b1d773aa2d39e4e6,contrast,the black writing on the white page is a contrast to the eyes
160e350cce69080b1d773aa2d39e4e6,date,shows date when one need to respond by
160e350cce69080b1d773aa2d39e4e6,font,too small to read
160e350cce69080b1d773aa2d39e4e6,politics,important for the political party to know its members
160e350cce69080b1d773aa2d39e4e6,poll,for political candidate
160e350cce69080b1d773aa2d39e4e6,professionalism,the census form is very serious and holds a level of importance
160e350cce69080b1d773aa2d39e4e6,question,a number of questions listed
160e350cce69080b1d773aa2d39e4e6,questionnaire,questionnaire to assess whether their attitudes align with that of the party perhaps
160e350cce69080b1d773aa2d39e4e6,redaction,the removal of specific details
160e350cce69080b1d773aa2d39e4e6,republican,this is for a republican representative
160e350cce69080b1d773aa2d39e4e6,structure,the document shows a fillable form that has specific questions to be answered in intended order
160e350cce69080b1d773aa2d39e4e6,uninteresting,not interested in politics
1627c5534b42b258f1e6da9e6d2ca9,active,high spirits enjoying time celebrating life.
1627c5534b42b258f1e6da9e6d2ca9,anxiety,this looks like a bad idea and a stressful situation.
1627c5534b42b258f1e6da9e6d2ca9,chaos,there are people everywhere and there is no control.
1627c5534b42b258f1e6da9e6d2ca9,craziness,"this could be a scene made from drink, where drunk people are achieving nothing"
1627c5534b42b258f1e6da9e6d2ca9,danger,people climbing on something that looks dangerous and it seems one person is bloodied.
1627c5534b42b258f1e6da9e6d2ca9,enjoyment,everyone seen in the picture is happy.
1627c5534b42b258f1e6da9e6d2ca9,fun,"the people being lifted into the air imply that everyone is having a good time,"
1627c5534b42b258f1e6da9e6d2ca9,gig,the wrist bands and low lighting make it look like a music event
1627c5534b42b258f1e6da9e6d2ca9,helping each other,the crowd below might be helping the two men on top to achieve something?
1627c5534b42b258f1e6da9e6d2ca9,incomprehension,don't really know what could be going on in this scene
1627c5534b42b258f1e6da9e6d2ca9,joyful,dancing and playing together.
1627c5534b42b258f1e6da9e6d2ca9,noise,surely noise will be there.
1627c5534b42b258f1e6da9e6d2ca9,party,"all of the people gathered together make it look like an event,"
1627c5534b42b258f1e6da9e6d2ca9,party,fun happy times.
1627c5534b42b258f1e6da9e6d2ca9,performance,the artists are doing a good job.
1656ab264ba7b242cd409b24203989f1,athletic,everyone is in atheltic wear and looks like they do this regularly
1656ab264ba7b242cd409b24203989f1,charity,the banners and race setup indicate the event is organized to support a cause or raise funds for a benefit.
1656ab264ba7b242cd409b24203989f1,community,looks like a lot of different types of people are hear and people you don't typically see running
1656ab264ba7b242cd409b24203989f1,contrast,"among the runners in athletic wear, a participant dressed as a nun stands out."
1656ab264ba7b242cd409b24203989f1,determination,people look tired in this and it is clearly a race so they are determined to get to the finish line
1656ab264ba7b242cd409b24203989f1,determination,the focused expressions and physical effort of the participants convey commitment and motivation to complete the race.
1656ab264ba7b242cd409b24203989f1,endurance,they endured long enough to cross the finish line for the race.
1656ab264ba7b242cd409b24203989f1,energy,"the scene is full of movement and enthusiasm, with runners of all backgrounds participating."
1656ab264ba7b242cd409b24203989f1,event,"a charity race is taking place, with participants running for a cause."
1656ab264ba7b242cd409b24203989f1,exhaustion,they are tired from running the race.
1656ab264ba7b242cd409b24203989f1,fulfilled,people look fulfilled as they are going to accomplish completing this event.
1656ab264ba7b242cd409b24203989f1,hardworking,each person had to work hard to train for the race.
1656ab264ba7b242cd409b24203989f1,health,people are participating in a running event which is healthy. also the cause they are running for looks related to health.
1656ab264ba7b242cd409b24203989f1,participation,the large group of runners shows active involvement and community engagement in a shared event.
1656ab264ba7b242cd409b24203989f1,tired,people look tired as they are running this marathon.
16ddd843bfbce3277f8475b2fd6244a,bondage,"it shows how fortified a structure is, and it only reveals how difficult it would be to come out of it."
16ddd843bfbce3277f8475b2fd6244a,building,the scaffolding surrounding a building site
16ddd843bfbce3277f8475b2fd6244a,busy,the structure in the image is very busy with lots of lines and angles
16ddd843bfbce3277f8475b2fd6244a,chaos,the mess and disorganization
16ddd843bfbce3277f8475b2fd6244a,chaos,lots of structures going this way and that
16ddd843bfbce3277f8475b2fd6244a,construction,work site at construction zone
16ddd843bfbce3277f8475b2fd6244a,conviction,the image conveys a sense of heights achieved through sheer will.
16ddd843bfbce3277f8475b2fd6244a,growth,the image conveys a sense of growth from nothing to a monolith.
16ddd843bfbce3277f8475b2fd6244a,indomitability,the image conveys a sense of success despite failures and unending pains.
16ddd843bfbce3277f8475b2fd6244a,maze,"the image shows a series of intertwined rods, woods and layers of unending structure."
16ddd843bfbce3277f8475b2fd6244a,progress,"the image also depicts how far the structure has gone, which means progress."
16ddd843bfbce3277f8475b2fd6244a,stabilization,the support structure of a building
16ddd843bfbce3277f8475b2fd6244a,strength,the portrayed scaffolding conveys strength and stability
16ddd843bfbce3277f8475b2fd6244a,unfinished,the structure in the image appears to be largely unfinished
16ddd843bfbce3277f8475b2fd6244a,wonder,at what is going to be behind the scaffolding
16fba8feb39e51fa143526d9dcf3a53a,depressing,touches on dark and sad themes .
16fba8feb39e51fa143526d9dcf3a53a,design,design of wisdom's which is mixed with two color.
16fba8feb39e51fa143526d9dcf3a53a,determination,the challenges involved with the present call to ⊜press forward⊝ suggest a very determined effort to get past obstacles and reach certain results.
16fba8feb39e51fa143526d9dcf3a53a,inspirational,the text in the image is meant to inspire the viewer
16fba8feb39e51fa143526d9dcf3a53a,inspiring,the quote is inspiring and meaningful.
16fba8feb39e51fa143526d9dcf3a53a,misfortune,"the phrase ""dead end"" implies that things are going bad and that there seems to be no way forward"
16fba8feb39e51fa143526d9dcf3a53a,motivation,a picture contained with words of encouragement
16fba8feb39e51fa143526d9dcf3a53a,motivation,the message in the image is trying to motivate the reader to keep moving forward and to not lose hope.
16fba8feb39e51fa143526d9dcf3a53a,optimism,that all say that there must not be any kind of surrender and carries the hope and cheerful spirit in one even in the face of odds.
16fba8feb39e51fa143526d9dcf3a53a,perseverance,the message is to walk the other way and press on regardless of the barriers or blocked roads.
16fba8feb39e51fa143526d9dcf3a53a,positivity,"the message is showing that there is still hope and that even when things are tough, we can still reach our goal"
16fba8feb39e51fa143526d9dcf3a53a,provoking,the image is eye catching and makes the viewer think
16fba8feb39e51fa143526d9dcf3a53a,shocking,breaks the stigma of mental health.
16fba8feb39e51fa143526d9dcf3a53a,supportive,the image reminds the viewer that not all is lost
16fba8feb39e51fa143526d9dcf3a53a,word,a brave words to express
175a5705540fcc8ac63f9685b64fe6b,childhood,i ate a lot of these crackers as a child.
175a5705540fcc8ac63f9685b64fe6b,cholesterol,0%
175a5705540fcc8ac63f9685b64fe6b,concern,the fact that the image is of nutritional facts suggest that the viewer has concerns about what they are consuming.
175a5705540fcc8ac63f9685b64fe6b,dark,the image appears dark and this means the picture was taken at night
175a5705540fcc8ac63f9685b64fe6b,happy,the image shows the brand name of a snack that is eaten by many children when they are doing something they enjoy such as watching tv.
175a5705540fcc8ac63f9685b64fe6b,health,i can imagine these are unhealthy.
175a5705540fcc8ac63f9685b64fe6b,healthy,the whole wheat ingredients in this snack may make someone feel like they are making a conscious choice to eat better.
175a5705540fcc8ac63f9685b64fe6b,medication,the image is showing the benefits of taking the medical supplement
175a5705540fcc8ac63f9685b64fe6b,menial,this image invokes the feeling of completing a menial task such as reviewing the nutritional information on food packaging.
175a5705540fcc8ac63f9685b64fe6b,nostalgia,an adult may remember moments from their childhood when eating this snack as an adult.
175a5705540fcc8ac63f9685b64fe6b,nostalgic,"the combination of blur, flash, and color in the picture is nostalgic of photos taken earlier in the century."
175a5705540fcc8ac63f9685b64fe6b,potassium,0%
175a5705540fcc8ac63f9685b64fe6b,processed,food that is man made usually is processed.
175a5705540fcc8ac63f9685b64fe6b,reflection,there is a reflection from a flashlight which further explains the the picture was captured at night.
175a5705540fcc8ac63f9685b64fe6b,sodium,5%
178a98e6a8c28b3dad531bd551aca68,attention,the lightning bolts indicate an improbable act which grabs the reader's attention
178a98e6a8c28b3dad531bd551aca68,author,shows name of author
178a98e6a8c28b3dad531bd551aca68,bad luck,because you have a black cloud over your head
178a98e6a8c28b3dad531bd551aca68,book,self-help book to deal with emotions of being unlucky
178a98e6a8c28b3dad531bd551aca68,cartoon,shows several cartoonlike objects lined up
178a98e6a8c28b3dad531bd551aca68,chance,why bad things happen to some people
178a98e6a8c28b3dad531bd551aca68,education,the information in the book is designed to teach the reader a concept
178a98e6a8c28b3dad531bd551aca68,graphics,motifs on the cover of the book
178a98e6a8c28b3dad531bd551aca68,improbability,six degrees of separation
178a98e6a8c28b3dad531bd551aca68,information,a book which holds the thoughts of the author
178a98e6a8c28b3dad531bd551aca68,intrigue,the book concept is a very interesting topic for a casual observer
178a98e6a8c28b3dad531bd551aca68,lightning,illustrating that when lightning strikes it is just something unlucky that happened
178a98e6a8c28b3dad531bd551aca68,people suck,contributing to unlikely bad things happening
178a98e6a8c28b3dad531bd551aca68,reading,books are designed to be read
178a98e6a8c28b3dad531bd551aca68,title,shows title of a textbook
1828abe4de31ff1e45c5d433c759692,autumn,the colours of the tree indicate it is autumn time
1828abe4de31ff1e45c5d433c759692,autumn,the tree is brown leaves are falling
1828abe4de31ff1e45c5d433c759692,autumnal,a crisp but beautiful autumnal day
1828abe4de31ff1e45c5d433c759692,beauty,the autumn leaves and the blue skies shows the beauty around us.
1828abe4de31ff1e45c5d433c759692,beauty,tree color combined with the blue sky
1828abe4de31ff1e45c5d433c759692,calm,there is peace and calmness in the weather
1828abe4de31ff1e45c5d433c759692,calming,the feeling of a gentle breeze rustling the leaves off the trees.
1828abe4de31ff1e45c5d433c759692,change,the transition between seasons
1828abe4de31ff1e45c5d433c759692,joy,a beautiful blue sky
1828abe4de31ff1e45c5d433c759692,nature,the picture represents a beautiful tree
1828abe4de31ff1e45c5d433c759692,nature,the picture is outside showing fauna
1828abe4de31ff1e45c5d433c759692,nature,trees and the sky
1828abe4de31ff1e45c5d433c759692,nostalgia,"the feeling of autumn days as a child, jumping into piles of leaves and playing conkers."
1828abe4de31ff1e45c5d433c759692,openness,the angle of the picture creates a sense of openness
1828abe4de31ff1e45c5d433c759692,warmth,the light makes the picture appear warm
1837ab214078ad2410d5f41b712dd3,change,the melting ice is a reminder of the effect of climate change
1837ab214078ad2410d5f41b712dd3,cold,the icy blue tones and frozen landscape evoke a sense of extreme cold and harsh environmental conditions.
1837ab214078ad2410d5f41b712dd3,disturbing,the image seems to be disturbing
